"plant","parameter","original_value","optimized_value","is_optimized"
"xml_4_Pea_Eric_plt.xml","inngrain2","1.28","0.803008005663839",TRUE
"xml_4_Pea_Eric_plt.xml","innturgmin","0.525","0.63029621529028",TRUE
"xml_4_Pea_Eric_plt.xml","innsen","0.417","0.464739844708332",TRUE
"xml_4_Pea_Eric_plt.xml","rsmin","102","88.6704426249684",TRUE
"xml_4_Pea_Eric_plt.xml","efcroijuv","2","1.31782289083236",TRUE
"xml_4_Pea_Eric_plt.xml","efcroiveg","3.2","3.16560230789806",TRUE
"xml_4_Pea_Eric_plt.xml","efcroirepro","2.1","1.69709514109329",TRUE
"xml_4_Pea_Eric_plt.xml","cgrain","0.0612","0.138116003309842",TRUE
"xml_4_Pea_Eric_plt.xml","nbgrmin","300","1540.42755463826",TRUE
"xml_4_Pea_Eric_plt.xml","vitircarbT","0.00112","0.00159051418158093",TRUE
"xml_4_Pea_Eric_plt.xml","vitirazo","0.0365","0.0355186451403424",TRUE
"Wheat_Eric_plt.xml","stlevamf","385","380",TRUE
"Wheat_Eric_plt.xml","stlevdrp","965","910.779728005374",TRUE
"Wheat_Eric_plt.xml","stamflax","535","350",TRUE
"Wheat_Eric_plt.xml","stdrpmat","555","655.08518245936",TRUE
"Wheat_Eric_plt.xml","stdrpdes","500","750",TRUE
"Wheat_Eric_plt.xml","dlaimaxbrut","0.0003064","0.00032",TRUE
"Wheat_Eric_plt.xml","vlaimax","2.2","2.1",TRUE
"Wheat_Eric_plt.xml","pentlaimax","5","4",TRUE
"Wheat_Eric_plt.xml","durvieF","155","250",TRUE
"Wheat_Eric_plt.xml","extin","0.5","0.5",FALSE
"Wheat_Eric_plt.xml","fixmaxveg","30","30",FALSE
"Wheat_Eric_plt.xml","fixmaxgr","9.5","9.5",FALSE
"Wheat_Eric_plt.xml","Vmax2","0.0205","0.0042",TRUE
"Wheat_Eric_plt.xml","inngrain2","1.18","1.497",TRUE
"Wheat_Eric_plt.xml","innturgmin","0.28","0.43103449616891",TRUE
"Wheat_Eric_plt.xml","innsen","0.151","0.466153117036099",TRUE
"Wheat_Eric_plt.xml","rsmin","137","200.15349879061",TRUE
"Wheat_Eric_plt.xml","efcroijuv","2.05","3.5",TRUE
"Wheat_Eric_plt.xml","efcroiveg","3.24","4.5",TRUE
"Wheat_Eric_plt.xml","efcroirepro","2.37","4.5",TRUE
"Wheat_Eric_plt.xml","cgrain","0.01928","0.138",TRUE
"Wheat_Eric_plt.xml","nbgrmin","2881","1540",TRUE
"Wheat_Eric_plt.xml","vitircarbT","0.000792","0.00080148591829597",TRUE
