"plant","parameter","original_value","optimized_value","is_optimized"
"xml_4_Pea_Eric_plt.xml","inngrain2","1.28","1.28",FALSE
"xml_4_Pea_Eric_plt.xml","innturgmin","0.525","0.525",FALSE
"xml_4_Pea_Eric_plt.xml","innsen","0.417","0.417",FALSE
"xml_4_Pea_Eric_plt.xml","rsmin","102","102",FALSE
"xml_4_Pea_Eric_plt.xml","efcroijuv","2","2",FALSE
"xml_4_Pea_Eric_plt.xml","efcroiveg","3.2","3.2",FALSE
"xml_4_Pea_Eric_plt.xml","efcroirepro","2.1","2.1",FALSE
"xml_4_Pea_Eric_plt.xml","cgrain","0.0612","0.0612",FALSE
"xml_4_Pea_Eric_plt.xml","nbgrmin","300","300",FALSE
"xml_4_Pea_Eric_plt.xml","vitircarbT","0.00112","0.00112",FALSE
"xml_4_Pea_Eric_plt.xml","vitirazo","0.0365","0.0365",FALSE
"Wheat_Eric_plt.xml","stlevamf","385","363.409389296014",TRUE
"Wheat_Eric_plt.xml","stlevdrp","965","910.779728005374",TRUE
"Wheat_Eric_plt.xml","stamflax","535","490.315663122705",TRUE
"Wheat_Eric_plt.xml","stdrpmat","555","646.49143245936",TRUE
"Wheat_Eric_plt.xml","stdrpdes","500","750",TRUE
"Wheat_Eric_plt.xml","dlaimaxbrut","0.0003064","0.000370442883697464",TRUE
"Wheat_Eric_plt.xml","vlaimax","2.2","2.48862174393899",TRUE
"Wheat_Eric_plt.xml","pentlaimax","5","3",TRUE
"Wheat_Eric_plt.xml","durvieF","155","212.958756271122",TRUE
"Wheat_Eric_plt.xml","ktrou","1.95","1.95",FALSE
"Wheat_Eric_plt.xml","rapforme","3","3",FALSE
"Wheat_Eric_plt.xml","fixmaxveg","30","30",FALSE
"Wheat_Eric_plt.xml","fixmaxgr","9.5","9.5",FALSE
"Wheat_Eric_plt.xml","Vmax2","0.0205","0.00449803576743232",TRUE
"Wheat_Eric_plt.xml","inngrain2","1.18","1.59008658646257",TRUE
"Wheat_Eric_plt.xml","innturgmin","0.28","0.401616603302975",TRUE
"Wheat_Eric_plt.xml","innsen","0.151","0.368868098649106",TRUE
"Wheat_Eric_plt.xml","rsmin","137","92.9393456077861",TRUE
"Wheat_Eric_plt.xml","efcroijuv","2.05","1",TRUE
"Wheat_Eric_plt.xml","efcroiveg","3.24","2.96712792028032",TRUE
"Wheat_Eric_plt.xml","efcroirepro","2.37","3.27100552038514",TRUE
"Wheat_Eric_plt.xml","cgrain","0.01928","0.01928",FALSE
"Wheat_Eric_plt.xml","nbgrmin","2881","2881",FALSE
"Wheat_Eric_plt.xml","vitircarbT","0.000792","0.000792",FALSE
"Wheat_Eric_plt.xml","vitirazo","0.01842","0.01842",FALSE
"xml_6_Wheat_Eric_plt.xml","stlevamf","385","385",FALSE
"xml_6_Wheat_Eric_plt.xml","stlevdrp","965","965",FALSE
"xml_6_Wheat_Eric_plt.xml","stamflax","535","535",FALSE
"xml_6_Wheat_Eric_plt.xml","stdrpmat","555","555",FALSE
"xml_6_Wheat_Eric_plt.xml","stdrpdes","500","500",FALSE
"xml_6_Wheat_Eric_plt.xml","dlaimaxbrut","0.0003064","0.0003064",FALSE
"xml_6_Wheat_Eric_plt.xml","vlaimax","2.2","2.2",FALSE
"xml_6_Wheat_Eric_plt.xml","pentlaimax","5","5",FALSE
"xml_6_Wheat_Eric_plt.xml","durvieF","155","155",FALSE
"xml_6_Wheat_Eric_plt.xml","ktrou","1.95","1.95",FALSE
"xml_6_Wheat_Eric_plt.xml","rapforme","3","3",FALSE
"xml_6_Wheat_Eric_plt.xml","fixmaxveg","30","30",FALSE
"xml_6_Wheat_Eric_plt.xml","fixmaxgr","9.5","9.5",FALSE
"xml_6_Wheat_Eric_plt.xml","Vmax2","0.0205","0.0205",FALSE
"xml_6_Wheat_Eric_plt.xml","inngrain2","1.18","1.18",FALSE
"xml_6_Wheat_Eric_plt.xml","innturgmin","0.28","0.28",FALSE
"xml_6_Wheat_Eric_plt.xml","innsen","0.151","0.151",FALSE
"xml_6_Wheat_Eric_plt.xml","rsmin","137","137",FALSE
"xml_6_Wheat_Eric_plt.xml","efcroijuv","2.05","2.05",FALSE
"xml_6_Wheat_Eric_plt.xml","efcroiveg","3.24","3.24",FALSE
"xml_6_Wheat_Eric_plt.xml","efcroirepro","2.37","2.37",FALSE
"xml_6_Wheat_Eric_plt.xml","cgrain","0.01928","0.01928",FALSE
"xml_6_Wheat_Eric_plt.xml","nbgrmin","2881","2881",FALSE
"xml_6_Wheat_Eric_plt.xml","vitircarbT","0.000792","0.000792",FALSE
"xml_6_Wheat_Eric_plt.xml","vitirazo","0.01842","0.01842",FALSE
"Plant_FabaBean_plt.xml","stlevamf","483","483",FALSE
"Plant_FabaBean_plt.xml","stlevdrp","1180","1180",FALSE
"Plant_FabaBean_plt.xml","stamflax","480","480",FALSE
"Plant_FabaBean_plt.xml","stdrpmat","261","261",FALSE
"Plant_FabaBean_plt.xml","stdrpdes","300","300",FALSE
"Plant_FabaBean_plt.xml","dlaimaxbrut","0.0017","0.0017",FALSE
"Plant_FabaBean_plt.xml","vlaimax","2.2","2.2",FALSE
"Plant_FabaBean_plt.xml","pentlaimax","5.5","5.5",FALSE
"Plant_FabaBean_plt.xml","durvieF","352","352",FALSE
"Plant_FabaBean_plt.xml","ktrou","1","1",FALSE
"Plant_FabaBean_plt.xml","rapforme","3","3",FALSE
"Plant_FabaBean_plt.xml","fixmaxveg","25","25",FALSE
"Plant_FabaBean_plt.xml","fixmaxgr","17","17",FALSE
"Plant_FabaBean_plt.xml","Vmax2","0.00624","0.00624",FALSE
"Plant_FabaBean_plt.xml","inngrain2","0.9","0.9",FALSE
"Plant_FabaBean_plt.xml","innturgmin","0.3","0.3",FALSE
"Plant_FabaBean_plt.xml","innsen","0.35","0.35",FALSE
"Plant_FabaBean_plt.xml","rsmin","100","100",FALSE
"Plant_FabaBean_plt.xml","efcroijuv","1.83","1.83",FALSE
"Plant_FabaBean_plt.xml","efcroiveg","4.15","4.15",FALSE
"Plant_FabaBean_plt.xml","efcroirepro","1.1","1.1",FALSE
"Plant_FabaBean_plt.xml","cgrain","0.026","0.026",FALSE
"Plant_FabaBean_plt.xml","nbgrmin","400","400",FALSE
"Plant_FabaBean_plt.xml","vitircarbT","0.002","0.002",FALSE
"Plant_FabaBean_plt.xml","vitirazo","0.0357","0.0357",FALSE
"Wheat_remi_plt.xml","stlevamf","325","325",FALSE
"Wheat_remi_plt.xml","stlevdrp","800","800",FALSE
"Wheat_remi_plt.xml","stamflax","350","350",FALSE
"Wheat_remi_plt.xml","stdrpmat","530","530",FALSE
"Wheat_remi_plt.xml","stdrpdes","500","500",FALSE
"Wheat_remi_plt.xml","dlaimaxbrut","0.0003064","0.0003064",FALSE
"Wheat_remi_plt.xml","vlaimax","2.2","2.2",FALSE
"Wheat_remi_plt.xml","pentlaimax","5","5",FALSE
"Wheat_remi_plt.xml","durvieF","380","380",FALSE
"Wheat_remi_plt.xml","ktrou","1.95","1.95",FALSE
"Wheat_remi_plt.xml","rapforme","3","3",FALSE
"Wheat_remi_plt.xml","fixmaxveg","30","30",FALSE
"Wheat_remi_plt.xml","fixmaxgr","9.5","9.5",FALSE
"Wheat_remi_plt.xml","Vmax2","0.0205","0.0205",FALSE
"Wheat_remi_plt.xml","inngrain2","1.18","1.18",FALSE
"Wheat_remi_plt.xml","innturgmin","0.28","0.28",FALSE
"Wheat_remi_plt.xml","innsen","0.151","0.151",FALSE
"Wheat_remi_plt.xml","rsmin","137","137",FALSE
"Wheat_remi_plt.xml","efcroijuv","2.05","2.05",FALSE
"Wheat_remi_plt.xml","efcroiveg","3.24","3.24",FALSE
"Wheat_remi_plt.xml","efcroirepro","2.37","2.37",FALSE
"Wheat_remi_plt.xml","cgrain","0.01928","0.01928",FALSE
"Wheat_remi_plt.xml","nbgrmin","2881","2881",FALSE
"Wheat_remi_plt.xml","vitircarbT","0.000792","0.000792",FALSE
"Wheat_remi_plt.xml","vitirazo","0.01842","0.01842",FALSE
"soybeanAssoTardif_plt.xml","stlevamf","290","290",FALSE
"soybeanAssoTardif_plt.xml","stlevdrp","900","872.596134255374",TRUE
"soybeanAssoTardif_plt.xml","stamflax","440","684.065663122705",TRUE
"soybeanAssoTardif_plt.xml","stdrpmat","555","633.60080745936",TRUE
"soybeanAssoTardif_plt.xml","stdrpdes","150","150",FALSE
"soybeanAssoTardif_plt.xml","dlaimaxbrut","0.001","0.00122810729233627",TRUE
"soybeanAssoTardif_plt.xml","vlaimax","1.6","2.45152001324984",TRUE
"soybeanAssoTardif_plt.xml","pentlaimax","6.5","1.0045006632614",TRUE
"soybeanAssoTardif_plt.xml","durvieF","330","293.836904756193",TRUE
"soybeanAssoTardif_plt.xml","ktrou","1","1.9",TRUE
"soybeanAssoTardif_plt.xml","rapforme","0.5","2",TRUE
"soybeanAssoTardif_plt.xml","fixmaxveg","40","40",FALSE
"soybeanAssoTardif_plt.xml","fixmaxgr","30","30",FALSE
"soybeanAssoTardif_plt.xml","Vmax2","0.00386","0.00386",FALSE
"soybeanAssoTardif_plt.xml","inngrain2","1.5","1.5",FALSE
"soybeanAssoTardif_plt.xml","innturgmin","0.9","1",TRUE
"soybeanAssoTardif_plt.xml","innsen","0.8","0.8",FALSE
"soybeanAssoTardif_plt.xml","rsmin","250","190.589647120912",TRUE
"soybeanAssoTardif_plt.xml","efcroijuv","2.5","3.29046286486087",TRUE
"soybeanAssoTardif_plt.xml","efcroiveg","3.7","4.44979272266763",TRUE
"soybeanAssoTardif_plt.xml","efcroirepro","3.5","4.06856997978021",TRUE
"soybeanAssoTardif_plt.xml","cgrain","0.035","0.035",FALSE
"soybeanAssoTardif_plt.xml","nbgrmin","0","0",FALSE
"soybeanAssoTardif_plt.xml","vitircarbT","0.00123","0.00104102550975845",TRUE
"soybeanAssoTardif_plt.xml","vitirazo","0.029","0.029",FALSE
"sunflowerPrecoceAsso_plt.xml","stlevamf","300","300",FALSE
"sunflowerPrecoceAsso_plt.xml","stlevdrp","1080","1076.79535300537",TRUE
